user_id,archetype,preferred_categories,issue_count,pr_count,push_count,repo_diversity,collab_density,label_diversity,sprint_velocity,recency_weight
u00024,solo_hacker,"Kanban,Open Source,Research",3,2,30,10,0.144,2,2,0.391
u00025,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",31,23,66,15,0.503,4,6,0.759
u00026,scrum_team_member,"Agile/Scrum,Release Management",54,23,66,5,0.567,2,7,0.608
u00027,scrum_team_member,"Agile/Scrum,Release Management",87,19,46,5,0.714,7,8,0.893
u00028,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",25,3,3,10,0.709,19,15,0.542
u00029,ml_researcher,"Research,Open Source",7,7,107,2,0.294,2,2,0.501
u00030,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",25,3,5,16,0.698,9,11,0.773
u00031,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",29,7,3,9,0.733,12,20,0.625
u00032,ml_researcher,"Research,Open Source",2,5,36,6,0.293,2,2,0.603
u00033,solo_hacker,"Kanban,Open Source,Research",20,3,43,19,0.258,2,1,0.3
u00034,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",5,23,71,15,0.418,6,5,0.657
u00035,ml_researcher,"Research,Open Source",5,9,34,3,0.478,10,1,0.815
u00036,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",22,7,2,8,0.624,16,10,0.613
u00037,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",93,4,43,3,0.821,8,19,0.746
u00038,solo_hacker,"Kanban,Open Source,Research",7,2,79,18,0.232,3,6,0.301
u00039,ml_researcher,"Research,Open Source",3,11,34,6,0.35,1,2,0.637
u00040,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",14,15,62,5,0.937,16,15,0.708
u00041,scrum_team_member,"Agile/Scrum,Release Management",27,31,26,5,0.799,2,9,0.724
u00042,kanban_ops,"Kanban,Customer Support,Bug Triage",8,7,8,2,0.788,9,4,0.8
u00043,kanban_ops,"Kanban,Customer Support,Bug Triage",4,9,8,2,0.407,5,9,0.878
u00044,scrum_team_member,"Agile/Scrum,Release Management",42,9,52,9,0.792,2,7,0.802
u00045,kanban_ops,"Kanban,Customer Support,Bug Triage",4,4,9,5,0.585,9,11,0.587
u00046,scrum_team_member,"Agile/Scrum,Release Management",29,22,100,9,0.802,6,6,0.69
u00047,kanban_ops,"Kanban,Customer Support,Bug Triage",10,8,12,2,0.58,13,4,0.584
u00048,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",26,5,20,6,0.932,9,19,0.742
u00049,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",14,19,156,10,0.434,7,12,0.787
u00050,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",22,28,40,14,0.435,8,7,0.91
u00051,kanban_ops,"Kanban,Customer Support,Bug Triage",36,2,16,5,0.706,11,4,0.594
u00052,kanban_ops,"Kanban,Customer Support,Bug Triage",12,3,20,3,0.588,11,10,0.805
u00053,solo_hacker,"Kanban,Open Source,Research",6,11,29,5,0.222,3,7,0.421
u00054,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",9,18,55,3,0.763,11,20,0.785
u00055,ml_researcher,"Research,Open Source",2,5,103,4,0.406,2,2,0.643
u00056,scrum_team_member,"Agile/Scrum,Release Management",64,25,25,9,0.68,4,7,0.746
u00057,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",47,4,5,20,0.782,11,7,0.684
u00058,scrum_team_member,"Agile/Scrum,Release Management",96,11,17,6,0.643,2,11,0.743
u00059,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",9,30,83,31,0.483,3,20,0.753
u00060,solo_hacker,"Kanban,Open Source,Research",4,6,159,22,0.035,2,3,0.713
u00061,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",7,10,30,10,0.783,16,13,0.706
u00062,ml_researcher,"Research,Open Source",4,3,68,4,0.286,8,3,0.564
u00063,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",5,6,16,4,0.763,18,20,0.804
u00064,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",38,2,3,8,0.694,27,9,0.996
u00065,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",48,5,3,6,0.728,15,16,0.768
u00066,kanban_ops,"Kanban,Customer Support,Bug Triage",7,6,20,5,0.515,8,4,0.863
u00067,scrum_team_member,"Agile/Scrum,Release Management",25,38,61,3,0.9,6,14,0.7
u00068,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",14,14,90,13,0.65,10,5,0.698
u00069,kanban_ops,"Kanban,Customer Support,Bug Triage",16,7,5,8,0.798,7,5,0.811
u00070,kanban_ops,"Kanban,Customer Support,Bug Triage",23,2,16,2,0.708,5,5,0.671
u00071,solo_hacker,"Kanban,Open Source,Research",3,1,47,7,0.102,2,5,0.74
u00072,solo_hacker,"Kanban,Open Source,Research",4,2,24,20,0.178,4,3,0.423
u00073,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",10,31,62,40,0.359,5,8,0.685
u00074,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",13,6,16,3,0.747,17,9,0.846
u00075,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",6,20,48,62,0.56,5,12,0.691
u00076,solo_hacker,"Kanban,Open Source,Research",2,2,27,14,0.222,1,3,0.644
u00077,oss_contributor,"Open Source,Research",16,12,19,41,0.237,5,2,0.649
u00078,kanban_ops,"Kanban,Customer Support,Bug Triage",15,9,14,2,0.486,7,7,0.545
u00079,kanban_ops,"Kanban,Customer Support,Bug Triage",20,7,7,4,0.52,10,3,0.624
u00080,ml_researcher,"Research,Open Source",11,6,15,4,0.362,4,3,0.665
u00081,kanban_ops,"Kanban,Customer Support,Bug Triage",9,8,9,8,0.741,8,7,0.812
u00082,ml_researcher,"Research,Open Source",4,5,25,7,0.328,2,4,0.884
u00083,solo_hacker,"Kanban,Open Source,Research",2,1,22,5,0.098,3,2,0.714
u00084,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",7,18,95,31,0.664,6,9,0.641
u00085,kanban_ops,"Kanban,Customer Support,Bug Triage",20,1,17,5,0.461,5,4,0.598
u00086,solo_hacker,"Kanban,Open Source,Research",6,1,47,34,0.094,2,2,0.476
u00087,oss_contributor,"Open Source,Research",4,46,9,28,0.219,6,3,0.562
u00088,scrum_team_member,"Agile/Scrum,Release Management",15,71,44,9,0.726,5,19,0.997
u00089,scrum_team_member,"Agile/Scrum,Release Management",84,15,32,10,0.529,5,10,0.928
u00090,scrum_team_member,"Agile/Scrum,Release Management",31,18,30,5,0.77,3,15,0.83
u00091,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",7,18,27,7,0.934,22,14,0.769
u00092,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",31,3,8,6,0.96,13,10,0.872
u00093,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",18,23,44,27,0.37,3,11,0.727
u00094,scrum_team_member,"Agile/Scrum,Release Management",49,12,43,9,0.843,7,13,1.0
u00095,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",4,21,114,24,0.356,4,5,0.878
u00096,solo_hacker,"Kanban,Open Source,Research",6,4,29,18,0.264,2,4,0.575
u00097,oss_contributor,"Open Source,Research",16,12,3,25,0.41,1,7,0.381
u00098,solo_hacker,"Kanban,Open Source,Research",6,2,45,18,0.143,2,3,0.257
u00099,solo_hacker,"Kanban,Open Source,Research",2,1,11,17,0.173,2,7,0.761
u00100,scrum_team_member,"Agile/Scrum,Release Management",30,11,60,5,0.694,3,15,0.781
u00101,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",23,4,2,13,0.957,7,12,0.832
u00102,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",25,12,15,3,0.733,13,24,0.831
u00103,ml_researcher,"Research,Open Source",10,1,52,3,0.246,5,4,0.515
u00104,kanban_ops,"Kanban,Customer Support,Bug Triage",44,5,6,6,0.7,13,7,0.86
u00105,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",19,8,11,11,0.985,5,19,0.758
u00106,scrum_team_member,"Agile/Scrum,Release Management",57,9,83,5,0.751,4,8,0.897
u00107,oss_contributor,"Open Source,Research",7,25,52,31,0.55,12,5,0.362
u00108,oss_contributor,"Open Source,Research",9,124,15,51,0.49,3,3,0.802
u00109,solo_hacker,"Kanban,Open Source,Research",2,4,59,21,0.156,5,6,0.676
u00110,solo_hacker,"Kanban,Open Source,Research",16,2,77,8,0.104,3,8,0.601
u00111,kanban_ops,"Kanban,Customer Support,Bug Triage",52,10,18,3,0.583,10,7,0.629
u00112,oss_contributor,"Open Source,Research",6,63,34,48,0.531,6,3,0.53
u00113,scrum_team_member,"Agile/Scrum,Release Management",17,7,80,3,0.864,7,13,0.759
u00114,solo_hacker,"Kanban,Open Source,Research",6,1,71,5,0.16,1,3,0.249
u00115,solo_hacker,"Kanban,Open Source,Research",1,4,32,5,0.065,4,5,0.447
u00116,kanban_ops,"Kanban,Customer Support,Bug Triage",39,20,17,1,0.775,6,3,0.552
u00117,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",20,5,28,7,0.866,23,17,0.886
u00118,ml_researcher,"Research,Open Source",4,7,16,6,0.405,8,5,0.645
u00119,scrum_team_member,"Agile/Scrum,Release Management",30,22,72,7,0.626,6,11,0.892
u00120,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",58,5,3,10,0.648,45,11,0.848
u00121,ml_researcher,"Research,Open Source",3,3,33,4,0.496,3,4,0.41
u00122,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",24,3,4,16,0.944,18,9,0.936
u00123,ml_researcher,"Research,Open Source",13,12,22,2,0.487,2,2,0.659
u00124,scrum_team_member,"Agile/Scrum,Release Management",66,44,38,3,0.635,4,12,0.762
u00125,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",2,26,48,23,0.458,6,6,0.679
u00126,scrum_team_member,"Agile/Scrum,Release Management",64,15,51,14,0.78,5,14,0.835
u00127,solo_hacker,"Kanban,Open Source,Research",13,5,35,9,0.289,3,3,0.746
u00128,solo_hacker,"Kanban,Open Source,Research",2,1,11,3,0.249,4,3,0.601
u00129,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",79,6,5,4,0.766,15,12,0.813
u00130,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",9,22,35,20,0.431,10,6,0.714
u00131,scrum_team_member,"Agile/Scrum,Release Management",35,18,43,2,0.823,3,9,0.839
u00132,solo_hacker,"Kanban,Open Source,Research",7,2,165,24,0.06,3,3,0.238
u00133,solo_hacker,"Kanban,Open Source,Research",3,4,17,13,0.289,2,5,0.76
u00134,scrum_team_member,"Agile/Scrum,Release Management",29,10,35,15,0.548,2,9,0.86
u00135,oss_contributor,"Open Source,Research",10,43,51,38,0.595,3,2,0.516
u00136,scrum_team_member,"Agile/Scrum,Release Management",14,14,61,6,0.717,3,13,0.977
u00137,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",40,5,4,6,0.889,13,9,0.937
u00138,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",64,8,7,9,0.657,8,5,0.887
u00139,scrum_team_member,"Agile/Scrum,Release Management",37,9,28,6,0.677,6,11,0.898
u00140,oss_contributor,"Open Source,Research",8,19,11,27,0.252,9,10,0.741
u00141,ml_researcher,"Research,Open Source",15,8,23,1,0.375,5,3,0.451
u00142,kanban_ops,"Kanban,Customer Support,Bug Triage",31,3,13,2,0.588,8,4,0.554
u00143,solo_hacker,"Kanban,Open Source,Research",4,9,115,22,0.296,2,4,0.796
u00144,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",30,44,27,36,0.368,9,5,0.966
u00145,kanban_ops,"Kanban,Customer Support,Bug Triage",15,3,9,3,0.7,10,2,0.552
u00146,ml_researcher,"Research,Open Source",1,5,59,2,0.456,4,4,0.644
u00147,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",55,3,4,24,0.945,18,24,0.73
u00148,kanban_ops,"Kanban,Customer Support,Bug Triage",21,8,7,3,0.479,5,11,0.525
u00149,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",8,13,81,14,0.697,3,9,0.803
u00150,solo_hacker,"Kanban,Open Source,Research",3,12,37,23,0.226,2,9,0.248
u00151,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",45,5,35,7,0.72,4,14,0.844
u00152,oss_contributor,"Open Source,Research",7,13,9,31,0.569,3,3,0.75
u00153,oss_contributor,"Open Source,Research",7,18,18,69,0.269,5,2,0.39
u00154,scrum_team_member,"Agile/Scrum,Release Management",29,14,106,4,0.789,2,6,0.791
u00155,kanban_ops,"Kanban,Customer Support,Bug Triage",12,6,10,4,0.572,4,3,0.667
u00156,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",8,27,56,13,0.553,7,13,0.788
u00157,ml_researcher,"Research,Open Source",2,7,32,3,0.433,4,2,0.717
u00158,kanban_ops,"Kanban,Customer Support,Bug Triage",6,6,9,4,0.658,9,6,0.816
u00159,kanban_ops,"Kanban,Customer Support,Bug Triage",11,12,6,4,0.638,9,4,0.783
u00160,scrum_team_member,"Agile/Scrum,Release Management",32,18,25,7,0.759,4,6,0.827
u00161,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",25,7,33,4,0.925,12,17,0.819
u00162,kanban_ops,"Kanban,Customer Support,Bug Triage",30,4,16,3,0.461,12,3,0.768
u00163,solo_hacker,"Kanban,Open Source,Research",4,5,14,14,0.27,2,7,0.647
u00164,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",29,3,2,6,0.704,11,15,0.703
u00165,scrum_team_member,"Agile/Scrum,Release Management",91,27,57,12,0.855,7,13,0.701
u00166,kanban_ops,"Kanban,Customer Support,Bug Triage",17,4,9,6,0.583,5,8,0.739
u00167,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",43,7,28,3,0.789,8,13,0.908
u00168,kanban_ops,"Kanban,Customer Support,Bug Triage",18,8,11,2,0.586,16,7,0.581
u00169,scrum_team_member,"Agile/Scrum,Release Management",18,46,65,7,0.817,9,8,0.747
u00170,solo_hacker,"Kanban,Open Source,Research",10,1,60,7,0.122,3,1,0.734
u00171,ml_researcher,"Research,Open Source",6,5,30,18,0.303,2,4,0.826
u00172,oss_contributor,"Open Source,Research",3,37,23,70,0.496,11,3,0.802
u00173,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",50,2,3,3,0.781,25,9,0.536
u00174,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",74,2,5,2,0.629,15,10,0.65
u00175,kanban_ops,"Kanban,Customer Support,Bug Triage",14,5,12,2,0.413,7,12,0.654
u00176,scrum_team_member,"Agile/Scrum,Release Management",34,27,44,3,0.862,4,8,0.697
u00177,oss_contributor,"Open Source,Research",2,57,18,30,0.385,6,1,0.719
u00178,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",11,20,51,14,0.635,4,5,0.873
u00179,oss_contributor,"Open Source,Research",14,27,68,30,0.48,8,2,0.467
u00180,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",49,2,9,3,0.963,10,15,0.998
u00181,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",17,8,21,3,0.91,15,22,0.703
u00182,solo_hacker,"Kanban,Open Source,Research",8,4,31,6,0.19,3,3,0.506
u00183,scrum_team_member,"Agile/Scrum,Release Management",82,18,38,5,0.673,8,16,0.899
u00184,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",4,41,32,9,0.473,3,6,0.786
u00185,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",8,20,147,9,0.575,8,8,0.636
u00186,solo_hacker,"Kanban,Open Source,Research",4,3,22,9,0.154,6,4,0.695
u00187,kanban_ops,"Kanban,Customer Support,Bug Triage",17,4,22,4,0.675,6,2,0.733
u00188,kanban_ops,"Kanban,Customer Support,Bug Triage",5,18,4,4,0.659,7,4,0.727
u00189,oss_contributor,"Open Source,Research",8,39,52,21,0.28,2,3,0.372
u00190,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",7,37,71,25,0.657,6,5,0.711
u00191,kanban_ops,"Kanban,Customer Support,Bug Triage",15,8,8,4,0.621,6,3,0.882
u00192,kanban_ops,"Kanban,Customer Support,Bug Triage",16,10,12,2,0.443,6,5,0.655
u00193,solo_hacker,"Kanban,Open Source,Research",3,2,23,9,0.082,5,8,0.393
u00194,oss_contributor,"Open Source,Research",7,93,12,44,0.351,7,2,0.449
u00195,solo_hacker,"Kanban,Open Source,Research",3,3,12,10,0.117,2,4,0.746
u00196,ml_researcher,"Research,Open Source",3,4,48,9,0.428,5,1,0.539
u00197,scrum_team_member,"Agile/Scrum,Release Management",53,11,35,11,0.858,1,4,0.627
u00198,solo_hacker,"Kanban,Open Source,Research",3,2,45,22,0.003,3,5,0.281
u00199,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",88,2,3,4,0.902,10,23,0.698
u00200,solo_hacker,"Kanban,Open Source,Research",5,6,75,18,0.225,4,4,0.5
u00201,solo_hacker,"Kanban,Open Source,Research",7,3,18,11,0.112,2,2,0.583
u00202,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",121,4,3,7,0.786,27,11,0.974
u00203,scrum_team_member,"Agile/Scrum,Release Management",28,16,56,7,0.705,3,15,0.741
u00204,oss_contributor,"Open Source,Research",1,16,8,53,0.449,4,3,0.563
u00205,kanban_ops,"Kanban,Customer Support,Bug Triage",16,10,22,4,0.689,6,4,0.517
u00206,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",6,16,34,31,0.493,3,7,0.784
u00207,scrum_team_member,"Agile/Scrum,Release Management",81,31,70,8,0.766,5,16,0.873
u00208,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",50,8,62,34,0.689,9,2,0.822
u00209,solo_hacker,"Kanban,Open Source,Research",8,8,36,19,0.099,2,2,0.734
u00210,kanban_ops,"Kanban,Customer Support,Bug Triage",11,3,8,6,0.783,8,6,0.744
u00211,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",32,2,5,16,0.997,12,17,0.786
u00212,oss_contributor,"Open Source,Research",6,71,13,14,0.446,5,3,0.664
u00213,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",6,30,89,32,0.624,5,4,0.76
u00214,solo_hacker,"Kanban,Open Source,Research",7,6,25,8,0.024,3,2,0.29
u00215,solo_hacker,"Kanban,Open Source,Research",8,4,9,34,0.176,4,4,0.294
u00216,ml_researcher,"Research,Open Source",3,6,23,4,0.298,5,3,0.404
u00217,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",39,6,3,11,0.92,15,12,0.666
u00218,scrum_team_member,"Agile/Scrum,Release Management",56,17,57,2,0.82,4,10,0.902
u00219,kanban_ops,"Kanban,Customer Support,Bug Triage",8,5,20,7,0.492,5,4,0.761
u00220,solo_hacker,"Kanban,Open Source,Research",9,1,30,2,0.241,1,5,0.501
u00221,ml_researcher,"Research,Open Source",6,7,42,3,0.497,3,3,0.743
u00222,ml_researcher,"Research,Open Source",2,8,56,3,0.48,2,3,0.891
u00223,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",143,2,8,3,0.711,14,9,0.761
u00224,scrum_team_member,"Agile/Scrum,Release Management",41,13,30,3,0.825,3,14,0.899
u00225,ml_researcher,"Research,Open Source",2,14,52,5,0.213,3,2,0.885
u00226,oss_contributor,"Open Source,Research",24,36,8,23,0.213,7,1,0.476
u00227,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",29,3,3,3,0.63,14,8,0.935
u00228,scrum_team_member,"Agile/Scrum,Release Management",84,29,28,2,0.573,1,7,0.937
u00229,solo_hacker,"Kanban,Open Source,Research",5,3,46,13,0.269,5,6,0.231
u00230,scrum_team_member,"Agile/Scrum,Release Management",36,16,34,4,0.724,6,5,0.828
u00231,kanban_ops,"Kanban,Customer Support,Bug Triage",46,8,27,2,0.711,5,3,0.767
u00232,ml_researcher,"Research,Open Source",2,5,94,4,0.457,2,4,0.889
u00233,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",18,10,9,2,0.74,23,19,0.765
u00234,kanban_ops,"Kanban,Customer Support,Bug Triage",29,4,4,3,0.664,9,3,0.583
u00235,scrum_team_member,"Agile/Scrum,Release Management",13,49,38,6,0.673,14,9,0.644
u00236,solo_hacker,"Kanban,Open Source,Research",3,1,29,5,0.091,2,9,0.488
u00237,kanban_ops,"Kanban,Customer Support,Bug Triage",15,14,14,2,0.548,6,7,0.624
u00238,ml_researcher,"Research,Open Source",4,10,91,12,0.493,2,3,0.401
u00239,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",15,6,7,5,0.901,25,14,0.887
u00240,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",22,40,107,20,0.525,7,11,0.947
u00241,ml_researcher,"Research,Open Source",3,6,45,3,0.475,8,7,0.447
u00242,oss_contributor,"Open Source,Research",3,18,15,75,0.57,1,1,0.438
u00243,solo_hacker,"Kanban,Open Source,Research",9,1,42,19,0.014,2,2,0.571
u00244,kanban_ops,"Kanban,Customer Support,Bug Triage",24,18,20,7,0.464,7,7,0.534
u00245,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",39,4,10,15,0.96,18,10,0.797
u00246,kanban_ops,"Kanban,Customer Support,Bug Triage",20,6,21,2,0.77,5,6,0.536
u00247,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",18,38,134,16,0.585,8,8,0.816
u00248,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",9,8,26,2,0.951,14,11,0.827
u00249,kanban_ops,"Kanban,Customer Support,Bug Triage",19,10,11,4,0.724,5,11,0.734
u00250,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",7,42,40,34,0.588,11,15,0.802
u00251,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",35,2,2,8,0.809,20,17,0.811
u00252,scrum_team_member,"Agile/Scrum,Release Management",18,7,32,5,0.706,5,10,0.66
u00253,oss_contributor,"Open Source,Research",5,18,8,49,0.217,8,2,0.635
u00254,solo_hacker,"Kanban,Open Source,Research",9,5,16,6,0.037,3,4,0.509
u00255,solo_hacker,"Kanban,Open Source,Research",2,3,24,14,0.051,3,7,0.295
u00256,scrum_team_member,"Agile/Scrum,Release Management",23,23,67,5,0.811,7,16,0.742
u00257,kanban_ops,"Kanban,Customer Support,Bug Triage",48,5,15,4,0.784,5,4,0.616
u00258,kanban_ops,"Kanban,Customer Support,Bug Triage",25,6,29,3,0.6,6,2,0.642
u00259,solo_hacker,"Kanban,Open Source,Research",8,1,28,4,0.158,7,5,0.319
u00260,solo_hacker,"Kanban,Open Source,Research",6,2,28,46,0.287,7,5,0.396
u00261,solo_hacker,"Kanban,Open Source,Research",4,3,53,46,0.073,2,6,0.37
u00262,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",18,17,89,12,0.328,3,10,0.816
u00263,scrum_team_member,"Agile/Scrum,Release Management",22,14,61,6,0.789,12,9,0.781
u00264,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",35,14,3,5,0.932,25,10,0.698
u00265,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",15,8,12,3,0.73,9,25,0.945
u00266,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",20,14,34,7,0.886,8,20,0.996
u00267,solo_hacker,"Kanban,Open Source,Research",7,3,12,14,0.031,2,14,0.549
u00268,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",12,32,28,2,0.821,14,28,0.887
u00269,scrum_team_member,"Agile/Scrum,Release Management",73,30,86,3,0.558,8,11,0.659
u00270,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",48,5,1,11,0.826,18,13,0.82
u00271,kanban_ops,"Kanban,Customer Support,Bug Triage",15,19,9,2,0.53,25,12,0.708
u00272,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",27,10,45,4,0.941,17,24,0.744
u00273,solo_hacker,"Kanban,Open Source,Research",6,3,20,21,0.169,4,19,0.388
u00274,scrum_team_member,"Agile/Scrum,Release Management",49,7,14,6,0.863,4,6,0.845
u00275,scrum_team_member,"Agile/Scrum,Release Management",30,19,50,7,0.663,2,5,0.777
u00276,scrum_team_member,"Agile/Scrum,Release Management",30,22,44,5,0.786,4,6,0.869
u00277,ml_researcher,"Research,Open Source",5,6,90,5,0.491,2,5,0.865
u00278,kanban_ops,"Kanban,Customer Support,Bug Triage",14,14,11,2,0.792,6,17,0.65
u00279,ml_researcher,"Research,Open Source",3,15,20,6,0.374,2,4,0.542
u00280,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",22,10,4,11,0.805,31,17,0.551
u00281,kanban_ops,"Kanban,Customer Support,Bug Triage",9,7,12,4,0.57,9,6,0.773
u00282,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",17,5,36,6,0.904,23,21,0.981
u00283,kanban_ops,"Kanban,Customer Support,Bug Triage",10,8,18,2,0.531,11,3,0.896
u00284,oss_contributor,"Open Source,Research",6,38,16,36,0.436,7,3,0.473
u00285,solo_hacker,"Kanban,Open Source,Research",5,1,75,70,0.179,4,4,0.729
